Title,Author,Summary,Categories & Tags,Rating,Rank
I Became The Necromancer Of The Academy,_172,"Scream out.Awake and pour out the grudge left in you onto me.Then, I shall save you.","Action, Adventure, Drama, Fantasy, Harem, Horror, Mature, Psychological, Romance, School Life, Supernatural, Tragedy, Academy, Apathetic Protagonist, Aristocracy, Arranged Marriage, Beautiful Female Lead, Broken Engagement, Calm Protagonist, Charismatic Protagonist, Cunning Protagonist, Demons, Determined Protagonist, Ghosts, Handsome Male Lead, Hated Protagonist, Love Interest Falls in Love First, Magic, Maids, Male Protagonist, Mature Protagonist, Misunderstandings, Multiple POV, Necromancer, Obsessive Love, Past Plays a Big Role, Past Trauma, Previous Life Talent, Romantic Subplot, Saving the World, Seeing Things Other Humans Can't, Selfless Protagonist, Spirit Advisor, Spirit Users, Spirits, Teachers, Transmigration, Transported into a Game World, Yandere, ",4.9,38
The Reincarnated Extra,Murasaki Murabe,"Aihara Runa was a person who had been living in hell of misfortune. One day she found herself in a strange stage, apparently her soul was reaped without permission and sold at an auction to gods from another world along with her 28 classmates. But there was a trouble, it seems that Aihara’s soul was extremely smelly and stinky. Instead of getting a buyer, she was thrown away and with her soul in danger of disappearing.However, when her soul was about disappear, she met an unnamed goddess who claimed herself as a god’s vessel. The goddess said that she can help Aihara to get reincarnated but with one condition, that is to bring her along and get reincarnated together. Aihara who was about disappeared accepted the goddess’ condition and got reincarnated successfully as Emmy. But apparently, the hard life still continued even after reincarnated too….If there’s no food, then let’s get some bugs!!! Let’s just enjoy this hard life together with the reliable partner [Omake-sama] inside my head and have fun instead.As Emmy managed to survive while watching and getting involved in the events of another cheat reincarnations, she grew into an irregular. This is a story about Emmy, a soul who managed to survive from disposal by gods. However, she doesn’t know that her reincarnation did not list in fate’s archive and unconsciously broke the gods’ scenario one after another.","Action, Adventure, Comedy, Fantasy, Tragedy, Abandoned Children, Age Progression, Anti-social Protagonist, Antihero Protagonist, Apathetic Protagonist, Appearance Changes, Awkward Protagonist, Brainwashing, Bullying, Calm Protagonist, Carefree Protagonist, Child Abuse, Child Protagonist, Cruel Characters, Demon Lord, Demons, Discrimination, Fantasy World, Female Protagonist, Genius Protagonist, God-human Relationship, Gods, Hated Protagonist, Heroes, Kingdoms, Loner Protagonist, Magic, Misunderstandings, Mob Protagonist, Monsters, Multiple POV, Quiet Characters, Racism, Reincarnated in Another World, Spirits, Stoic Characters, Survival, Sword And Magic, Tentacles, Unlucky Protagonist, Weak to Strong, ",4.2,146
I Am This Murim’s Crazy Bitch,ILikeTraditionalMartialArtsNovels,"I became a female character in a wuxia game I’ve played for the first time.I know absolutely nothing about Murim, though…","Action, Adventure, Comedy, Drama, Gender Bender, Martial Arts, Wuxia, Accelerated Growth, Ancient Times, Assassins, Beautiful Female Lead, Cruel Characters, Cultivation, Daoism, Demonic Cultivation Technique, Depictions of Cruelty, Fantasy World, Fast Cultivation, Female Protagonist, Game Elements, Gore, Hot-blooded Protagonist, Identity Crisis, Lack of Common Sense, Level System, Male to Female, Misunderstandings, Ninjas, Nobles, Organized Crime, Protagonist Strong from the Start, R-15, Racism, Ruthless Protagonist, Sadistic Characters, Shameless Protagonist, Sharp-tongued Characters, Skill Books, Strength-based Social Hierarchy, Strong to Stronger, Sword Wielder, System Administrator, Transmigration, Transported into a Game World, Ugly to Beautiful, ",4.6,374
The 31st Piece Turns the Tables,King Mochi,"In a world where reality shifts with every roll of the dice, a man daily partakes in an extraordinary game with the gods, his actions dictated by his decisions and the face of the dice. He takes great joy in this game until the tables turn, and he himself becomes a piece on the game board. Now, the dice are in his hands, and it’s his turn to shape his own destiny. It’s time for the Snowman to play his part.","Action, Adventure, Fantasy, Supernatural, Adapted to Manhwa, Adventurers, Apocalypse, Army Building, Artifacts, Calm Protagonist, Character Growth, Clever Protagonist, Conflicting Loyalties, Demi-Humans, Depictions of Cruelty, Dragons, Elemental Magic, Fantasy Creatures, Fantasy World, Game Elements, Game Ranking System, Gods, Guilds, Lost Civilizations, Loyal Subordinates, Male Protagonist, Necromancer, Quirky Characters, Religions, Schemes And Conspiracies, Special Abilities, Strength-based Social Hierarchy, Summoning Magic, Sword And Magic, Transplanted Memories, Weak to Strong, Wizards, World Travel, ",4.7,133
Transmigrated into the Gacha Game I Abandoned for 10 Years,Springdrop,"I transmigrated into the gacha game I abandoned for 10 years.But, the state of the heroes I raised is strange.","Action, Adventure, Fantasy, Harem, Alchemy, Animal Characteristics, Anti-Magic, Army Building, Beastkin, Boss-Subordinate Relationship, Calm Protagonist, Caring Protagonist, Demons, Dense Protagonist, Dragons, Economics, Fantasy World, Game Elements, Game Ranking System, Heroes, Kingdom Building, Knights, Love Interest Falls in Love First, Love Rivals, Loyal Subordinates, Male Protagonist, Management, Misunderstandings, Modern Knowledge, Monsters, Multiple POV, Obsessive Love, Past Plays a Big Role, Poor to Rich, Strong Love Interests, Transported into a Game World, Weak Protagonist, Yandere, Younger Love Interests, ",3.8,379
Mysteries of Immortal Puppet Master,Gu Zhen Ren,"Within the volcano, the Immortal Palace, left behind by the powerful sages, yearns for a successor.Ning Zhuo’s mother risked her life to obtain the Immortal Palace Seal and entrusted it to him with her final breath.“The Buddha Heart Demon Seal!”“To transcend oneself as Buddha, to lead others to become Demons.”The bearer of the seal can effortlessly inscribe heart seals and command the mechanized creations with grace. While others labor under the heavy mental strain of controlling even a few, for Ning Zhuo, it is as light as a feather. He commands tens of thousands as if dancing.Ning Zhuo vowed: “Mother, I will fulfill your wish and claim the Immortal Palace!”Indeed:The Immortal Puppets possess profound spiritual secrets, crafted with skillful precision.A new realm unfolds, expanding the heavens,Where earthly splendor rivals celestial beauty.Ancient chimes resonate with divine law,As moonlight graces the dance of the ethereal.The true self embodies myriad forms,Who in this world dares to challenge?","Action, Adventure, Fantasy, Martial Arts, Mystery, Psychological, Seinen, Xianxia, Clever Protagonist, Cultivation, Cunning Protagonist, Dark, Fantasy Creatures, Fantasy World, Hiding True Abilities, Male Protagonist, Puppeteers, Secret Identity, ",4.8,310
The Narrow-Eyed Villain of the Demon Academy,Ahoe,"The worst and strongest villain.I became the narrow-eyed character Arsene Adel.“Revenge.”It sounded good.At least to the original owner of the body.But from my point of view, the goal is not revenge, but survival.I didn’t have the confidence to survive among humans, soㅡI went to the Demon Realm.Where I was headed,A school for demons that is said to be attended by the children of prestigious families in the demon world,……It was a school that terrorized the human world.","Action, Adventure, Comedy, Fantasy, Martial Arts, School Life, Supernatural, Tragedy, Academy, Aristocracy, Army, Assassins, Calm Protagonist, Clever Protagonist, Demi-Humans, Demons, Game Elements, Gods, Hiding True Identity, Magic, Male Protagonist, Misunderstandings, Monsters, Nobles, Seven Deadly Sins, Special Abilities, Strong to Stronger, Sword And Magic, Transmigration, Wars, ",4.1,136
Who Let Him Cultivate Immortality!,The Whitest Raven,"“I’ve repeatedly emphasized that the atmosphere in the cultivation world is inherently skewed, not skewed by me. It’s said that history is written by the victors, so why am I still being slandered when I’ve won?” Lu Yang, the Sword Immortal, said in an interview with reporters, expressing great anger.The next day.“I’ve repeatedly emphasized that the atmosphere in the cultivation world is skewed by me. History is written by the victors, and I won!” Lu Yang, the Sword Immortal, said in an interview with reporters, expressing great anger. —《Cultivation Daily》 reports for you.","Action, Adventure, Comedy, Fantasy, Xianxia, Clever Protagonist, Comedic Undertone, Cultivation, Male Protagonist, Shameless Protagonist, Transmigration, Transported to Another World, Weak to Strong, ",4.5,89
Beast Taming: Starting From Zero,GiveMeSomeOnions,"When Qiao Sang opened her eyes, She realized she had become a middle-school studentImmediately afterwards, She was greeted with a mock test.Having graduated from a 985 university, would such a puny test still intimidate her?Yes. Yes, it would.What on earth is this exam about!What is the final evolved form of the stinky loach called?Which planets have humans already migrated to?…… ………… ……Welcome to the world of Beast Taming","Action, Adventure, Comedy, Fantasy, School Life, Xuanhuan, Accelerated Growth, Battle Academy, Battle Competition, Beast Companions, Beasts, Calm Protagonist, Cautious Protagonist, Cheats, Clever Protagonist, College/University, Comedic Undertone, Contracts, Evolution, Fast Learner, Female Protagonist, Friendship, Game Elements, Ghosts, Level System, Lucky Protagonist, Magic Beasts, Monster Tamer, Monsters, Outer Space, Overpowered Protagonist, Pets, Transmigration, Weak to Strong, ",4.5,319
The Return of the Legendary All-Master,Kite,"The first-ever virtual reality game, New World.{The time has come.}{Synchronization starts.}That marked the beginning of the catastrophe.As the game became reality, the Earth began to crumble.However, there was hope.All-Master Jeong-hoon, who had survived until the very end, was just one step away from finishing the game.“Gah!”But ended up being betrayed by his comrades.“Should I say, from the moment you said you wanted to end this game?”The reason for their betrayal was simple, if the game ended, their power would disappear.The moment they thought it was all over.[An unknown mysterious force is protecting you.]
[An unknown mysterious force is sending you back to the past.]
[Warning! The system attempts to intervene… failed.]
[Warning! Warning! The system attempts to intervene… failed.]
[Warning! Warning! Warning! The system attempts to intervene… failed.]
[An unknown mysterious force dissipates.]Thanks to that unknown force, he returned to the past.","Action, Adventure, Comedy, Fantasy, Martial Arts, Apocalypse, Betrayal, Calm Protagonist, Game Elements, Gamers, Hiding True Identity, Male Protagonist, Overpowered Protagonist, Past Plays a Big Role, Second Chance, Virtual Reality, ",4.0,1083
