Title,Author,Summary,Categories,Tags,Rating,Rank,Chapters
Beast Taming: Starting From Zero,GiveMeSomeOnions,"When Qiao Sang opened her eyes, She realized she had become a middle-school studentImmediately afterwards, She was greeted with a mock test.Having graduated from a 985 university, would such a puny test still intimidate her?Yes. Yes, it would.What on earth is this exam about!What is the final evolved form of the stinky loach called?Which planets have humans already migrated to?…… ………… ……Welcome to the world of Beast Taming","Action, Adventure, Comedy, Fantasy, School Life, Xuanhuan","Accelerated Growth, Battle Academy, Battle Competition, Beast Companions, Beasts, Calm Protagonist, Cautious Protagonist, Cheats, Clever Protagonist, College/University, Comedic Undertone, Contracts, Evolution, Fast Learner, Female Protagonist, Friendship, Game Elements, Ghosts, Level System, Lucky Protagonist, Magic Beasts, Monster Tamer, Monsters, Outer Space, Overpowered Protagonist, Pets, Transmigration, Weak to Strong, ",4.5,319,460
I Am This Murim’s Crazy Bitch,ILikeTraditionalMartialArtsNovels,"I woke up as a female character in a wuxia game I’ve only just started playing. Completely clueless about Murim—a world dominated by martial arts, secret clans, and power struggles—I must navigate this treacherous realm. With no knowledge of its rules or dangers, I decide to carve my own path, challenging norms and redefining my destiny in this chaotic new life.","Action, Adventure, Comedy, Drama, Gender Bender, Martial Arts, Wuxia","Accelerated Growth, Ancient Times, Assassins, Beautiful Female Lead, Cruel Characters, Cultivation, Daoism, Demonic Cultivation Technique, Depictions of Cruelty, Fantasy World, Fast Cultivation, Female Protagonist, Game Elements, Gore, Hot-blooded Protagonist, Identity Crisis, Lack of Common Sense, Level System, Male to Female, Misunderstandings, Ninjas, Nobles, Organized Crime, Protagonist Strong from the Start, R-15, Racism, Ruthless Protagonist, Sadistic Characters, Shameless Protagonist, Sharp-tongued Characters, Skill Books, Strength-based Social Hierarchy, Strong to Stronger, Sword Wielder, System Administrator, Transmigration, Transported into a Game World, Ugly to Beautiful, ",4.6,374,172
Otherworld TRPG Game Master,1_394,"I became a wizard of the Illusion Magic School and decided to create a virtual reality with illusion magic to play a tabletop role-playing game (TRPG).It was great to create a virtual reality, but I was in trouble because there were no suitable players. During that time, I received an offer to be the professor from the Royal Academy.The offer was to use illusion magic to fill the students’ lack of practical experience safely. And so, I became a professor at the academy.“Send me back, send me back to that world right now-!”“Outer god, someday an outer god will be our doom, we’ll all die!!”“I am not the bastard of the Redburn Ducal Family. I am the foremost disciple of the Great Namgung Clan, Namgung Qinghui!”But it seems there is a bit of a misunderstanding.This isn’t a spell for dimensional travel, kids. It’s fiction…","Adventure, Comedy, Drama, Ecchi, Fantasy, Harem, Psychological, School Life, Sci-fi","Academy, Anti-social Protagonist, Apathetic Protagonist, Aristocracy, Butlers, Calm Protagonist, Carefree Protagonist, Comedic Undertone, Cosplay, ",4.8,353,192
Eternal Tale,Zi Ling Fengxue,"【Light-hearted and humorous + No female lead + No knives + Survivalist protagonist】- caution, this story is engaging.Chen Xun traversed into the vast and boundless world of cultivation, awakening the Immortal Ascension System, which unexpectedly granted him a companion, a long-lived spiritual beast.I, Chen Xun, have no interest in fighting or killing, nor do I wish to provoke anyone. I only want to travel the world with my old ox and witness all the worldly splendors. However, one day, I inadvertently discovered a secret….","Action, Adventure, Comedy, Fantasy, Xianxia","Beast Companions, Cautious Protagonist, Childish Protagonist, Cultivation, Death of Loved Ones, Fantasy Creatures, Fantasy World, Heartwarming, Hiding True Abilities, Immortals, Male Protagonist, Slow Growth at Start, Strong to Stronger, Time Skip, Transmigration, World Travel, ",4.5,187,274
Is It Bad That the Main Character’s a Roleplayer?,Haeinseol,I’m a roleplayer. A gamer who creates characters according to their classes and happily acts as them.“Don’t… Touch me……”“Talk more and see if you can handle my wrath……”My current character was a Demon Knight who kept a Demon sealed in his right arm! One day while I was just acting as my character and enjoying the game as usual……“Log out.”[This command cannot be carried out.]“……? Log out.”[This command cannot be carried out.]“……???”And as if not being able to log out wasn’t enough…“You disgusting Demon! So you finally took over Sir Demon Knight’s body!”“My eyes cannot be deceived! Sir Demon Knight isn’t that kind!”Because of my damn companions I couldn’t even stop role playing!Can this role playing gamer faithful to their setting ever return to reality?,"Action, Adventure, Comedy, Fantasy","Adventurers, Chuunibyou, Demons, Depictions of Cruelty, Elemental Magic, Enemies Become Allies, Evil Organizations, Game Elements, Male Protagonist, Misunderstandings, Multiple POV, Possession, Priests, Protagonist Strong from the Start, Religions, Strong to Stronger, Sword And Magic, Sword Wielder, Thieves, Transmigration, Transported into a Game World, Wizards, ",4.7,1188,210
The 31st Piece Turns the Tables,King Mochi,"In a world where reality shifts with every roll of the dice, a man daily partakes in an extraordinary game with the gods, his actions dictated by his decisions and the face of the dice. He takes great joy in this game until the tables turn, and he himself becomes a piece on the game board. Now, the dice are in his hands, and it’s his turn to shape his own destiny. It’s time for the Snowman to play his part.","Action, Adventure, Fantasy, Supernatural","Adapted to Manhwa, Adventurers, Apocalypse, Army Building, Artifacts, Calm Protagonist, Character Growth, Clever Protagonist, Conflicting Loyalties, Demi-Humans, Depictions of Cruelty, Dragons, Elemental Magic, Fantasy Creatures, Fantasy World, Game Elements, Game Ranking System, Gods, Guilds, Lost Civilizations, Loyal Subordinates, Male Protagonist, Necromancer, Quirky Characters, Religions, Schemes And Conspiracies, Special Abilities, Strength-based Social Hierarchy, Summoning Magic, Sword And Magic, Transplanted Memories, Weak to Strong, Wizards, World Travel, ",4.7,133,371
Becoming Professor Moriarty’s Probability,Kim Mamo,"I fervently critiqued the development of a Sherlock Holmes-based mystery gal game.Villain Maker: Fulfilling the probability of Professor Moriarty’s appearance.Love-Hate Relationship: Becoming ‘that man’ for Holmes.Lady of London: Completing one sham marriage with Watson.Freeze: Receiving a confession from Inspector Lestrade.Phantom Thief’s Treasure: Getting kidnapped by the Phantom Thief Lupin.In doing so, become this twisted world’s very probability.Best wishes, Mr. Isaac Adler.I’m screwed.","Action, Fantasy, Harem, Mystery, Psychological, Romance","Antihero Protagonist, Award-winning Work, Beastkin, Beautiful Female Lead, Childhood Promise, Clingy Lover, C*nnilingus, Contracts, Cunning Protagonist, Demi-Humans, Dense Protagonist, Detectives, Dragons, Enemies Become Lovers, Famous Protagonist, Fanfiction, First-time Interc**rse, Harem-seeking Protagonist, Hated Protagonist, Male Protagonist, Matriarchy, Misunderstandings, Monsters, Mysterious Past, Obsessive Love, Older Love Interests, Organized Crime, Polygamy, Proactive Protagonist, Quirky Characters, R-18, Race Change, Racism, Reverse Rape, S*aves, Strong Love Interests, Transmigration, Transported into a Game World, Unconditional Love, Vampires, Yandere, ",3.4,369,213
Mysteries of Immortal Puppet Master,Gu Zhen Ren,"Within the volcano, the Immortal Palace, left behind by the powerful sages, yearns for a successor.Ning Zhuo’s mother risked her life to obtain the Immortal Palace Seal and entrusted it to him with her final breath.“The Buddha Heart Demon Seal!”“To transcend oneself as Buddha, to lead others to become Demons.”The bearer of the seal can effortlessly inscribe heart seals and command the mechanized creations with grace. While others labor under the heavy mental strain of controlling even a few, for Ning Zhuo, it is as light as a feather. He commands tens of thousands as if dancing.Ning Zhuo vowed: “Mother, I will fulfill your wish and claim the Immortal Palace!”Indeed:The Immortal Puppets possess profound spiritual secrets, crafted with skillful precision.A new realm unfolds, expanding the heavens,Where earthly splendor rivals celestial beauty.Ancient chimes resonate with divine law,As moonlight graces the dance of the ethereal.The true self embodies myriad forms,Who in this world dares to challenge?","Action, Adventure, Fantasy, Martial Arts, Mystery, Psychological, Seinen, Xianxia","Clever Protagonist, Cultivation, Cunning Protagonist, Dark, Fantasy Creatures, Fantasy World, Hiding True Abilities, Male Protagonist, Puppeteers, Secret Identity, ",4.8,310,219
The Return of the Legendary All-Master,Kite,"The first-ever virtual reality game, New World.{The time has come.}{Synchronization starts.}That marked the beginning of the catastrophe.As the game became reality, the Earth began to crumble.However, there was hope.All-Master Jeong-hoon, who had survived until the very end, was just one step away from finishing the game.“Gah!”But ended up being betrayed by his comrades.“Should I say, from the moment you said you wanted to end this game?”The reason for their betrayal was simple, if the game ended, their power would disappear.The moment they thought it was all over.[An unknown mysterious force is protecting you.]
[An unknown mysterious force is sending you back to the past.]
[Warning! The system attempts to intervene… failed.]
[Warning! Warning! The system attempts to intervene… failed.]
[Warning! Warning! Warning! The system attempts to intervene… failed.]
[An unknown mysterious force dissipates.]Thanks to that unknown force, he returned to the past.","Action, Adventure, Comedy, Fantasy, Martial Arts","Apocalypse, Betrayal, Calm Protagonist, Game Elements, Gamers, Hiding True Identity, Male Protagonist, Overpowered Protagonist, Past Plays a Big Role, Second Chance, Virtual Reality, ",4.0,1083,279
Transmigrated into the Gacha Game I Abandoned for 10 Years,Springdrop,"I transmigrated into the gacha game I abandoned for 10 years. However, the state of the heroes I painstakingly raised is strange and unsettling. As I navigate this familiar yet altered world, I must uncover the mysteries behind their transformations and adapt to the new challenges that have emerged during my decade-long absence.","Action, Adventure, Fantasy, Harem","Alchemy, Animal Characteristics, Anti-Magic, Army Building, Beastkin, Boss-Subordinate Relationship, Calm Protagonist, Caring Protagonist, Demons, Dense Protagonist, Dragons, Economics, Fantasy World, Game Elements, Game Ranking System, Heroes, Kingdom Building, Knights, Love Interest Falls in Love First, Love Rivals, Loyal Subordinates, Male Protagonist, Management, Misunderstandings, Modern Knowledge, Monsters, Multiple POV, Obsessive Love, Past Plays a Big Role, Poor to Rich, Strong Love Interests, Transported into a Game World, Weak Protagonist, Yandere, Younger Love Interests, ",3.8,379,175
